problem_statement,entailment,contradiction
After Vitaly was expelled from the university he became interested in the graph theory Vitaly especially liked the cycles of an odd length in which each vertex occurs at most once Vitaly was wondering how to solve the following problem You are given an undirected graph consisting of vertices and edges not necessarily connected without parallel edges and loops You need to find the minimum number of edges that must be added to the given graph in order to form a simple cycle of an odd length consisting of more than one vertex Moreover he must find the number of ways to add edges in order to form a cycle of an odd length consisting of more than one vertex It is prohibited to add loops or parallel edges Two ways to add edges to the graph are considered equal if they have the same sets of added edges Since Vitaly does not study at the university he asked you to help him with this task ,math,data structures
You finally woke up after this crazy dream and decided to walk around to clear your head Outside you saw your house s fence so plain and boring that you d like to repaint it You have a fence consisting of n planks where the i th plank has the color a i You want to repaint the fence in such a way that the i th plank has the color b i You ve invited m painters for this purpose The j th painter will arrive at the moment j and will recolor plank to color c j For each painter you can choose which plank to recolor but you can t turn them down i e each painter has to color exactly one plank Can you get the coloring b you want If it s possible print for each painter which plank he must paint ,greedy,math
A matrix of size n times m is called nice if all rows and columns of the matrix are palindromes A sequence of integers a 1 a 2 dots a k is a palindrome if for any integer i 1 le i le k the equality a i a k i 1 holds Sasha owns a matrix a of size n times m In one operation he can increase or decrease any number in the matrix by one Sasha wants to make the matrix nice He is interested what is the minimum number of operations he needs Help him ,math,data structures
A cooperative game is played by m people In the game there are 3m sheets of paper m sheets with letter m sheets with letter and m sheets with letter Initially each person is given three sheets possibly with equal letters The goal of the game is to allow each of the m people to spell the word using their sheets of paper In other words everyone should have one sheet with letter one sheet with letter and one sheet with letter To achieve the goal people can make Two people participate in each exchange Both of them choose exactly one sheet of paper from the three sheets they own and exchange it with each other Find the shortest sequence of exchanges after which everyone has one one and one ,greedy,math
You are given two positive integers n 1 le n le 10 9 and k 1 le k le 100 Represent the number n as the sum of k positive integers of the same parity have the same remainder when divided by 2 In other words find a 1 a 2 ldots a k such that all a i 0 n a 1 a 2 ldots a k and either all a i are even or all a i are odd at the same time If such a representation does not exist then report it ,math,data structures
By 2312 there were Large Hadron Colliders in the inhabited part of the universe Each of them corresponded to a single natural number from to However scientists did not know what activating several colliders simultaneously could cause so the colliders were deactivated In 2312 there was a startling discovery a collider s activity is safe if and only if all numbers of activated colliders are pairwise relatively prime to each other two numbers are relatively prime if their greatest common divisor equals If two colliders with relatively nonprime numbers are activated it will cause a global collapse Upon learning this physicists rushed to turn the colliders on and off and carry out all sorts of experiments To make sure than the scientists quickness doesn t end with big trouble the Large Hadron Colliders Large Remote Control was created You are commissioned to write the software for the remote well you do not expect anybody to operate it manually do you Initially all colliders are deactivated Your program receives multiple requests of the form activate deactivate the th collider The program should handle requests in the order of receiving them The program should print the processed results in the format described below To the request of that is to activate the th collider the program should print exactly one of the following responses if the activation was successful if the th collider was already activated before the request if there is a conflict with the th collider that is the th collider is on and numbers and are not relatively prime In this case the th collider shouldn t be activated If a conflict occurs with several colliders simultaneously you should print the number of any of them The request of that is to deactivate the th collider should receive one of the following responses from the program if the deactivation was successful if the th collider was already deactivated before the request You don t need to print quotes in the output of the responses to the requests ,math,implementation
There will be a launch of a new powerful and unusual collider very soon which located along a straight line particles will be launched inside it All of them are located in a straight line and there can not be two or more particles located in the same point The coordinates of the particles coincide with the distance in meters from the center of the collider is the coordinate of the th particle and its position in the collider at the same time All coordinates of particle positions are You know the direction of each particle movement it will move to the right or to the left after the collider s launch start All particles begin to move simultaneously at the time of the collider s launch start Each particle will move straight to the left or straight to the right with the constant speed of meter per microsecond The collider is big enough so particles can not leave it in the foreseeable time Write the program which finds the moment of the first collision of any two particles of the collider In other words find the number of microseconds before the first moment when any two particles are at the same point ,implementation,math
Alyona assembles an unusual square Jigsaw Puzzle She does so in n days in the following manner On the first day she starts by placing the central piece in the center of the table On each day after the first one she places a certain number of pieces around the central piece in clockwise order always finishing each square layer completely before starting a new one For example she places the first 14 pieces in the following order Alyona is happy if at the end of the day the assembled part of the puzzle does not have any started but unfinished layers Given the number of pieces she assembles on each day find the number of days Alyona is happy on ,math,data structures
Three years have passes and nothing changed It is still raining in London and Mr Black has to close all the doors in his home in order to not be flooded Once however Mr Black became so nervous that he opened one door then another then one more and so on until he opened all the doors in his house There are exactly two exits from Mr Black s house let s name them left and right exits There are several doors in each of the exits so each door in Mr Black s house is located either in the left or in the right exit You know where each door is located Initially all the doors are closed Mr Black can exit the house if and only if all doors in at least one of the exits is open You are given a sequence in which Mr Black opened the doors please find the smallest index k such that Mr Black can exit the house after opening the first k doors We have to note that Mr Black opened each door at most once and in the end all doors became open ,implementation,math
Caisa is now at home and his son has a simple task for him Given a rooted tree with vertices numbered from to vertex is the root Each vertex of the tree has a value You should answer queries Each query is one of the following Format of the query is 1 Let s write out the sequence of vertices along the path from the root to vertex You need to output such a vertex that and If there are several possible vertices pick the one with maximum value of If there is no such vertex output Format of the query is 2 You must change the value of vertex to You are given all the queries help Caisa to solve the problem ,math,data structures
Vika likes playing with bracket sequences Today she wants to create a new bracket sequence using the following algorithm Initially Vika s sequence is an empty string and then she will repeat the following actions n times Choose a place in the current bracket sequence to insert new brackets uniformly at random If the length of the current sequence is k then there are k 1 such places before the first bracket between the first and the second brackets ldots after the k th bracket In particular there is one such place in an empty bracket sequence Choose string with probability p or string with probability 1 p and insert it into the chosen place The length of the bracket sequence will increase by 2 A bracket sequence is called if it is possible to obtain a correct arithmetic expression by inserting characters and into it For example sequences and are regular while and are not Vika wants to know the probability that her bracket sequence will be a regular one at the end Help her and find this probability modulo 998 244 353 see Output section ,dp,math
You have a given integer n Find the number of ways to fill all 3 times n tiles with the shape described in the picture below Upon filling no empty spaces are allowed Shapes cannot overlap This picture describes when n 4 The left one is the shape and the right one is 3 times n tiles ,math,data structures
Vasya came to the store to buy goods for his friends for the New Year It turned out that he was very lucky today the offer k of goods for the price of one is held in store Using this offer Vasya can buy exactly k of any goods paying only for the most expensive of them Vasya decided to take this opportunity and buy as many goods as possible for his friends with the money he has More formally for each good its price is determined by a i the number of coins it costs Initially Vasya has p coins He wants to buy the maximum number of goods Vasya can perform one of the following operations as many times as necessary Vasya can buy one good with the index i if he currently has enough coins i e p ge a i After buying this good the number of Vasya s coins will decrease by a i i e it becomes p p a i Vasya can buy a good with the index i and also choose exactly k 1 goods the price of which does not exceed a i if he currently has enough coins i e p ge a i Thus he buys all these k goods and his number of coins decreases by a i i e it becomes p p a i Please note that each good can be bought no more than once For example if the store now has n 5 goods worth a 1 2 a 2 4 a 3 3 a 4 5 a 5 7 respectively k 2 and Vasya has 6 coins then he can buy 3 goods A good with the index 1 will be bought by Vasya without using the offer and he will pay 2 coins Goods with the indices 2 and 3 Vasya will buy using the offer and he will pay 4 coins It can be proved that Vasya can not buy more goods with six coins Help Vasya to find out the maximum number of goods he can buy ,dp,math
The police department of your city has just started its journey Initially they don t have any manpower So they started hiring new recruits in groups Meanwhile crimes keeps occurring within the city One member of the police force can investigate only one crime during his her lifetime If there is no police officer free isn t busy with crime during the occurrence of a crime it will go untreated Given the chronological order of crime occurrences and recruit hirings find the number of crimes which will go untreated ,implementation,math
You are fed up with your messy room so you decided to clean it up Your room is a bracket sequence s s 1 s 2 dots s n of length n Each character of this string is either an opening bracket or a closing bracket In one operation you can choose any consecutive substring of s and reverse it In other words you can choose any substring s l dots r s l s l 1 dots s r and change the order of elements in it into s r s r 1 dots s l For example if you will decide to reverse substring s 2 dots 4 of string s it will be equal to s A aka balanced bracket sequence is a bracket sequence that can be transformed into a correct arithmetic expression by inserting characters and between the original characters of the sequence For example bracket sequences are regular the resulting expressions are and and are not A prefix of a string s is a substring that starts at position 1 For example for s there are 6 prefixes and In your opinion a neat and clean room s is a bracket sequence that the whole string s is a bracket sequence there are exactly k prefixes of this sequence which are regular including whole s itself For example if k 2 then is a neat and clean room You want to use at most n operations to make your room neat and clean Operations are applied one after another sequentially It is guaranteed that the answer exists Note that you to minimize the number of operations find any way to achieve the desired configuration in n or less operations ,greedy,data structures
Vasya has a sequence a consisting of n integers a 1 a 2 dots a n Vasya may pefrom the following operation choose some number from the sequence and swap any pair of bits in its binary representation For example Vasya can transform number 6 dots 00000000110 2 into 3 dots 00000000011 2 12 dots 000000001100 2 1026 dots 10000000010 2 and many others Vasya can use this operation any possibly zero number of times on any number from the sequence Vasya names a sequence as one if using operation mentioned above he can obtain the sequence with bitwise exclusive or of all elements equal to 0 For the given sequence a 1 a 2 ldots a n Vasya d like to calculate number of integer pairs l r such that 1 le l le r le n and sequence a l a l 1 dots a r is good ,data structures,implementation
Given an undirected connected graph with n vertices and m edges The graph contains no loops edges from a vertex to itself and multiple edges i e no more than one edge between each pair of vertices The vertices of the graph are numbered from 1 to n Find the number of paths from a vertex s to t whose length differs from the shortest path from s to t by no more than 1 It is necessary to consider all suitable paths even if they pass through the same vertex or edge more than once i e they are not simple For example let n 6 m 8 s 6 and t 1 and let the graph look like the figure above Then the length of the shortest path from s to t is 1 Consider all paths whose length is at most 1 1 2 6 rightarrow 1 The length of the path is 1 6 rightarrow 4 rightarrow 1 Path length is 2 6 rightarrow 2 rightarrow 1 Path length is 2 6 rightarrow 5 rightarrow 1 Path length is 2 There is a total of 4 of matching paths ,dp,math
Vanya got cubes He decided to build a pyramid from them Vanya wants to build the pyramid as follows the top level of the pyramid must consist of cube the second level must consist of cubes the third level must have cubes and so on Thus the th level of the pyramid must have cubes Vanya wants to know what is the maximum height of the pyramid that he can make using the given cubes ,implementation,math
You are given an integer n Find a sequence of n integers a 1 a 2 dots a n such that 1 leq a i leq 10 9 for all i and max a 1 a 2 dots a n min a 1 a 2 dots a n sqrt a 1 a 2 dots a n It can be proven that there exists a sequence of integers that satisfies all the conditions above ,math,data structures
There are n benches near the Main Walkway in Summer Infomatics School These benches are numbered by integers from 1 to n in order they follow Also there are m cookie sellers near the Walkway The i th 1 le i le m cookie sellers is located near the s i th bench Petya is standing in the beginning of the Walkway He will pass near all benches starting from the 1 st bench and ending with the n th bench Petya passes the distance between two consecutive benches in 1 minute He has a knapsack with an infinite amount of cookies Petya is going to eat cookies from his knapsack and buy them from cookie sellers during the walk Petya eats cookies only near the benches according to the following rule he will eat the cookie near the i th 1 le i le n bench if and only if of the following conditions holds There is a cookie seller near the i th bench Then Petya will buy a cookie from cookie seller and eat it immediately Petya has not yet eaten a cookie Then Petya will take a cookie from his knapsack and eat it immediately At least d minutes passed since Petya ate the previous cookie In other words Petya has not eaten a cookie near the benches i 1 i 2 ldots max i d 1 1 Then Petya will take a cookie from his knapsack and eat it immediately You may assume that Petya eats cookies instantly Petya will not eat two or more cookies near the same bench You want to the number of cookies Petya will eat during his walk In order to do this you will ask the administration of the Summer Informatics School to remove cookie seller from the Walkway before Petya starts his walk Please determine the minimum possible number of cookies Petya can eat after removing exactly one cookie seller Also determine the number of cookie sellers such that if you remove one of them Petya will eat the minimum possible number of cookies ,greedy,implementation
You are given an integer x represented as a product of n its divisors p 1 cdot p 2 cdot ldots cdot p n Let S be the set of positive integer divisors of x including 1 and x itself We call a set of integers D if and only if there is no pair a in D b in D such that a ne b and a divides b Find a subset of S with maximum possible size Since the answer can be large print the size of the subset modulo 998244353 ,math,data structures
You are given a tree a connected non oriented graph without cycles with vertices numbered from to and the length of the th edge is In the vertex there is a policeman in the vertices criminals are located The policeman can walk along the edges with speed the criminals can move with arbitrary large speed If a criminal at some moment is at the same point as the policeman he instantly gets caught by the policeman Determine the time needed for the policeman to catch all criminals assuming everybody behaves optimally i e the criminals maximize that time the policeman minimizes that time Everybody knows positions of everybody else at any moment of time ,dp,data structures
Sasha has an array a of n integers He got bored and for all i j i j he wrote down the minimum value of a i and a j He obtained a new array b of size frac n cdot n 1 2 For example if a 2 3 5 1 he would write min 2 3 min 2 5 min 2 1 min 3 5 min 3 1 min 5 1 2 2 1 3 1 1 Then he randomly all the elements of the array b Unfortunately he forgot the array a and your task is to restore any possible array a from which the array b could have been obtained ,greedy,data structures
You talked to Polycarp and asked him a question You know that when he wants to answer yes he repeats many times in a row Because of the noise you only heard part of the answer some substring of it That is if he answered then you could hear but you couldn t or Determine if it is true that the given string s is a substring of repeated many times in a row ,implementation,data structures
You are given a sequence a 1 a 2 dots a n consisting of n integers You can choose any non negative integer D i e D ge 0 and for each a i you can add D only once i e perform a i a i D or subtract D only once i e perform a i a i D or leave the value of a i unchanged It is possible that after an operation the value a i becomes negative Your goal is to choose such D and perform changes in such a way that all a i are equal i e a 1 a 2 dots a n Print the required D or if it is impossible to choose such value D print For example for array 2 8 the value D 3 is minimum possible because you can obtain the array 5 5 if you will add D to 2 and subtract D from 8 And for array 1 4 7 7 the value D 3 is also minimum possible You can add it to 1 and subtract it from 7 and obtain the array 4 4 4 4 ,math,data structures
There is a fun game where you need to feed cats that come and go The level of the game consists of n steps There are m cats the cat i is present in steps from l i to r i inclusive In each step you can feed all the cats that are currently present or do nothing If you feed the same cat more than once it will overeat and you will immediately lose the game Your goal is to feed as many cats as possible without causing any cat to overeat Find the maximum number of cats you can feed Formally you need to select several integer points from the segment from 1 to n in such a way that among given segments none covers two or more of the selected points and as many segments as possible cover one of the selected points ,dp,greedy
Monocarp s current password on Codeforces is a string s consisting of lowercase Latin letters Monocarp thinks that his current password is too weak so he wants to into the password to make it stronger Monocarp can choose any letter and insert it anywhere even before the first character or after the last character Monocarp thinks that the password s strength is proportional to the time it takes him to type the password The time it takes to type the password is calculated as follows the time to type the first character is 2 seconds for each character other than the first the time it takes to type it is 1 second if it is the same as the previous character or 2 seconds otherwise For example the time it takes to type the password is 14 the time it takes to type the password is 2 the time it takes to type the password is 11 You have to help Monocarp insert a lowercase Latin letter into his password so that the resulting password takes the maximum possible amount of time to type ,implementation,math
Once Bob took a paper stripe of squares the height of the stripe is 1 square In each square he wrote an integer number possibly negative He became interested in how many ways exist to cut this stripe into two pieces so that the sum of numbers from one piece is equal to the sum of numbers from the other piece and each piece contains positive integer amount of squares Would you help Bob solve this problem ,data structures,math
Barney lives in country USC United States of Charzeh USC has cities numbered from through and roads between them Cities and roads of USC form a rooted tree Barney s not sure why it is rooted Root of the tree is the city number Thus if one will start his journey from city he can visit any city he wants by following roads Some girl has stolen Barney s heart and Barney wants to find her He starts looking for in the root of the tree and since he is Barney Stinson not a random guy he uses a to search in the cities A pseudo code of this algorithm is as follows let starting time be an array of length ncurrent time 0dfs v current time current time 1 starting time v current time shuffle children v randomly each permutation with equal possibility children v is vector of children cities of city v for u in children v dfs u As told before Barney will start his journey in the root of the tree equivalent to call Now Barney needs to pack a backpack and so he wants to know more about his upcoming journey for every city Barney wants to know the expected value of He s a friend of Jon Snow and knows nothing that s why he asked for your help ,math,data structures
Two semifinals have just been in the running tournament Each semifinal had participants There are participants advancing to the finals they are chosen as follows from each semifinal we choose people who showed the best result in their semifinals and all other places in the finals go to the people who haven t ranked in the top in their semifinal but got to the of the best among the others The tournament organizers hasn t yet determined the value so the participants want to know who else has any chance to get to the finals and who can go home ,implementation,data structures
Jett is tired after destroying the town and she wants to have a rest She likes high places that s why for having a rest she wants to get high and she decided to craft staircases A staircase is a squared figure that consists of square cells Each staircase consists of an arbitrary number of stairs If a staircase has n stairs then it is made of n columns the first column is 1 cell high the second column is 2 cells high ldots the n th column if n cells high The lowest cells of all stairs must be in the same row A staircase with n stairs is called nice if it may be covered by n squares made of cells All squares should fully consist of cells of a staircase This is how a nice covered staircase with 7 stairs looks like Find out the maximal number of nice staircases that can be built using no more than x cells No cell can be used more than once ,implementation,data structures
Ostap Bender recently visited frog farm and was inspired to create his own frog game Number of frogs are places on a cyclic gameboard divided into cells Cells are numbered from to but the board is cyclic so cell number goes right after the cell number in the direction of movement th frog during its turn can jump for cells Frogs move in turns game starts with a move by frog On its turn th frog moves cells forward knocking out all the frogs on its way If there is a frog in the last cell of the path of the th frog that frog is also knocked out After this the value is decreased by the number of frogs that were knocked out during this turn If is zero or goes negative then th frog doesn t make moves anymore After frog number finishes its turn frog number starts to move then frog number and so on After the frog number makes its move frog starts to move again then frog and so on this process goes forever If some frog was already knocked out from the board we consider that it skips all its moves Help Ostap to identify what frogs will stay on the board at the end of a game ,data structures,dp
Sereja has an array consisting of integers The boy cannot sit and do nothing he decided to study an array Sereja took a piece of paper and wrote out integers For each number he wants to know how many distinct numbers are staying on the positions Formally he want to find the number of distinct numbers among Sereja wrote out the necessary array elements but the array was so large and the boy was so pressed for time Help him find the answer for the described question for each ,data structures,math
Serega and Fedor play with functions One day they came across a very interesting function It looks like that Here is an integer array of length Serega and Fedya want to know what values this function takes at some points But they don t want to calculate the values manually So they ask you to help them ,data structures,math
Consider a sequence Define its prefix product sequence Now given find a permutation of such that its prefix product sequence is a permutation of ,math,data structures
There are three doors in front of you numbered from 1 to 3 from left to right Each door has a lock on it which can only be opened with a key with the same number on it as the number on the door There are three keys one for each door Two of them are hidden behind the doors so that there is no more than one key behind each door So two doors have one key behind them one door doesn t have a key behind it To obtain a key hidden behind a door you should first unlock that door The remaining key is in your hands Can you open all the doors ,math,data structures
You have a set of items each having some integer weight not greater than 8 You denote that a subset of items is good if total weight of items in the subset does not exceed W You want to calculate the maximum possible weight of a good subset of items Note that you have to consider the empty set and the original set when calculating the answer ,dp,math
During a normal walk in the forest Katie has stumbled upon a mysterious code However the mysterious code had some characters unreadable She has written down this code as a string c consisting of lowercase English characters and asterisks where each of the asterisks denotes an unreadable character Excited with her discovery Katie has decided to recover the unreadable characters by replacing each asterisk with arbitrary lowercase English letter different asterisks might be replaced with different letters Katie has a favorite string s and a not so favorite string t and she would love to recover the mysterious code so that it has as many occurrences of s as possible and as little occurrences of t as possible Formally let s denote f x y as the number of occurrences of y in x for example f aababa ab 2 Katie wants to recover the code c conforming to the original c such that f c s f c t is largest possible However Katie is not very good at recovering codes in general so she would like you to help her out ,dp,data structures
Two integers and are if the result of their bitwise AND equals zero that is For example numbers and are compatible as and numbers and are not compatible as You are given an array of integers Your task is to find the following for each array element is this element compatible with some other element from the given array If the answer to this question is positive then you also should find any suitable element ,dp,data structures
A tree is an undirected graph with exactly one simple path between each pair of vertices We call a set of simple paths k valid if each vertex of the tree belongs to no more than one of these paths including endpoints and each path consists of exactly k vertices You are given a tree with n vertices For each k from 1 to n inclusive find what is the maximum possible size of a k valid set of simple paths ,data structures,math
Petya and his friend the robot Petya have a common friend the cyborg Petr Sometimes Petr comes to the friends for a cup of tea and tells them interesting problems Today Petr told them the following problem A palindrome is a sequence that reads the same from left to right as from right to left For example 38 12 8 12 38 1 and 3 8 8 3 are palindromes Let s call the of a sequence a 1 a 2 dots a n the minimum count of elements that need to be replaced to make this sequence a palindrome For example the palindromicity of the sequence 38 12 8 38 38 is 1 since it is sufficient to replace the number 38 at the fourth position with the number 12 And the palindromicity of the sequence 3 3 5 5 5 is two since you can replace the first two threes with fives and the resulting sequence 5 5 5 5 5 is a palindrome Given a sequence a of length n and an integer k you need to find the sum of palindromicity of all subarrays of length k i e the sum of the palindromicity values for the sequences a i a i 1 dots a i k 1 for all i from 1 to n k 1 The students quickly solved the problem Can you do it too ,data structures,math
Alice and Bob are playing a game in an array a of size n They take turns to do operations with Alice starting first The player who can not operate will lose At first a variable mx is set to 0 In one operation a player can do Choose an index i 1 le i le n such that a i geq mx and set mx to a i Then set a i to 0 Determine whether Alice has a winning strategy ,greedy,math
While rummaging through things in a distant drawer Anya found a beautiful string s consisting only of zeros and ones Now she wants to make it even more beautiful by performing q operations on it Each operation is described by two integers i 1 le i le s and v v in 0 1 and means that the i th character of the string is assigned the value v that is the assignment s i v is performed But Anya loves the number 1100 so after each query she asks you to tell her whether the substring is present in her string i e there exist such 1 le i le s 3 that s i s i 1 s i 2 s i 3 texttt 1100 ,implementation,data structures
Vladik is a competitive programmer This year he is going to win the International Olympiad in Informatics But it is not as easy as it sounds the question Vladik face now is to find the cheapest way to get to the olympiad Vladik knows airports All the airports are located on a straight line Each airport has unique id from to Vladik s house is situated next to the airport with id and the place of the olympiad is situated next to the airport with id It is possible that Vladik s house and the place of the olympiad are located near the same airport To get to the olympiad Vladik can fly between any pair of airports any number of times but he has to start his route at the airport and finish it at the airport Each airport belongs to one of two companies The cost of flight from the airport to the airport is zero if both airports belong to the same company and if they belong to different companies Print the minimum cost Vladik has to pay to get to the olympiad ,greedy,math
Recall that a permutation of length n is an array where each element from 1 to n occurs exactly once For a fixed positive integer d let s define the cost of the permutation p of length n as the number of indices i 1 le i n such that p i cdot d p i 1 For example if d 3 and p 5 2 6 7 1 3 4 then the cost of such a permutation is 2 because p 2 cdot 3 p 3 and p 5 cdot 3 p 6 Your task is the following one for a given value n find the permutation of length n and the value d with maximum possible cost over all ways to choose the permutation and d If there are multiple answers then print any of them ,greedy,data structures
You are given three strings s t and p consisting of lowercase Latin letters You may perform any number possibly zero operations on these strings During each operation you choose any character from p erase it from p and insert it into string s you may insert this character anywhere you want in the beginning of s in the end or between any two consecutive characters For example if p is and s is then the following outcomes are possible the character we erase from p and insert into s is highlighted rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow rightarrow Your goal is to perform several maybe zero operations so that s becomes equal to t Please determine whether it is possible Note that you have to answer q independent queries ,implementation,data structures
In Berland recently a new collection of toys went on sale This collection consists of types of toys numbered with integers from to A toy from the new collection of the th type costs bourles Tania has managed to collect different types of toys from the new collection Today is Tanya s birthday and her mother decided to spend no more than bourles on the gift to the daughter Tanya will choose several different types of toys from the new collection as a gift Of course she does not want to get a type of toy which she already has Tanya wants to have as many distinct types of toys in her collection as possible as the result The new collection is too diverse and Tanya is too little so she asks you to help her in this ,implementation,math
As we know DZY loves playing games One day DZY decided to play with a matrix To be more precise he decided to modify the matrix with exactly operations Each modification is one of the following Pick some row of the matrix and decrease each element of the row by This operation brings to DZY the value of pleasure equal to the sum of elements of the row before the decreasing Pick some column of the matrix and decrease each element of the column by This operation brings to DZY the value of pleasure equal to the sum of elements of the column before the decreasing DZY wants to know what is the largest total value of pleasure he could get after performing exactly modifications Please help him to calculate this value ,greedy,math
Evirir the dragon found an array a 1 a 2 ldots a n of n non negative integers In one operation they can choose a non empty subarray text b of a and replace it with the integer operatorname mex b text They want to use this operation any number of times to make a only contain zeros It can be proven that this is always possible under the problem constraints What is the minimum number of operations needed text An array c is a subarray of an array d if c can be obtained from d by the deletion of several possibly zero or all elements from the beginning and several possibly zero or all elements from the end text The minimum excluded MEX of a collection of integers f 1 f 2 ldots f k is defined as the smallest non negative integer x which does not occur in the collection f ,implementation,data structures
Very soon there will be a parade of victory over alien invaders in Berland Unfortunately all soldiers died in the war and now the army consists of entirely new recruits many of whom do not even know from which leg they should begin to march The civilian population also poorly understands from which leg recruits begin to march so it is only important how many soldiers march in step There will be columns participating in the parade the th column consists of soldiers who start to march from left leg and soldiers who start to march from right leg The beauty of the parade is calculated by the following formula if is the total number of soldiers on the parade who start to march from the left leg and is the total number of soldiers on the parade who start to march from the right leg so the beauty will equal you can choose one column and tell in this column to switch starting leg i e everyone in this columns who starts the march from left leg will now start it from right leg and vice versa Formally you can pick no more than one index and swap values and Find the index of the column such that switching the starting leg for soldiers in it will maximize the the beauty of the parade or determine that no such operation can increase the current beauty ,math,data structures
You are given a rooted tree consisting of n vertices numbered from 1 to n Vertex 1 is the root Additionally the root only has one child You are asked to add exactly k edges to the tree possibly multiple edges and or edges already existing in the tree Recall that a bridge is such an edge that after you remove it the number of connected components in the graph increases So initially all edges of the tree are bridges After k edges are added some original edges of the tree are still bridges and some are not anymore You want to satisfy two conditions for every bridge all tree edges in the subtree of the lower vertex of that bridge should also be bridges the number of bridges is as small as possible Solve the task for all values of k from 1 to n 1 and output the smallest number of bridges ,dp,math
There are two towers consisting of blocks of two colors red and blue Both towers are represented by strings of characters and or denoting the order of blocks in them where corresponds to a blue block and corresponds to a red block You can perform the following operation any number of times choose a tower with and move its block to the of the other tower The pair of towers is if no pair of touching blocks has the same color i e no red block stands on top of another red block and no blue block stands on top of another blue block You have to check if it is possible to perform any number of operations possibly zero to make the pair of towers beautiful ,implementation,data structures
You are given a tree with vertices and you are allowed to perform transformations on it Transformation is defined by three vertices and consists of deleting edge and adding edge Transformation could be performed if all the following conditions are satisfied There is an edge in the current tree After the transformation the graph remains a tree After the deletion of edge the tree would consist of two connected components Let s denote the set of nodes in the component containing vertex by and the set of nodes in the component containing vertex by Then condition should be satisfied i e the size of the component with should be strictly larger than the size of the component with You should the sum of squared distances between all pairs of vertices in a tree which you could get after no more than transformations and output any sequence of transformations leading initial tree to such state Note that you don t need to minimize the number of operations It is necessary to minimize only the sum of the squared distances ,math,data structures
Let s consider a simplified version of order book of some stock The order book is a list of orders offers from people that want to buy or sell one unit of the stock each order is described by or and price At every moment of time every offer has higher price than every offer The lowest price order and the highest price order are called the marked with black frames on the picture below There are two possible actions in this orderbook Somebody adds a new order of some direction with some price Somebody accepts the best possible or offer makes a deal It s impossible to accept not the best or offer to make a deal at worse price After someone accepts the offer it is removed from the orderbook forever It is allowed to add new order only with prices less than the best offer if you want to buy stock for higher price then instead of adding an order you should accept the best offer Similarly one couldn t add a new order with price less or equal to the best offer For example you can t add a new offer 20 if there is already an offer 20 or 25 in this case you just accept the best offer You have a damaged order book log in the beginning the are no orders in book Every action has one of the two types p denotes adding a new order with price p and unknown direction The order must not contradict with orders still not removed from the order book p denotes accepting an existing best offer with price p and unknown direction The directions of all actions are lost Information from the log isn t always enough to determine these directions Count the number of ways to correctly restore all action directions so that all the described conditions are satisfied at any moment Since the answer could be large output it modulo 10 9 7 If it is impossible to correctly restore directions then output 0 ,data structures,implementation
You are given an array of length and an integer The value of some array of length is the sum of its elements except for the smallest For example the value of the array with is Among all possible partitions of into contiguous subarrays output the smallest possible sum of the values of these subarrays ,greedy,implementation
The Super Duper Secret Meeting of the Super Duper Secret Military Squad takes place in a Super Duper Secret Place The place is an infinite plane with introduced Cartesian coordinate system The meeting table is represented as a rectangle whose sides are parallel to the coordinate axes and whose vertexes are located at the integer points of the plane At each integer point which belongs to the table perimeter there is a chair in which a general sits Some points on the plane contain radiators for the generals not to freeze in winter Each radiator is characterized by the number the radius of the area this radiator can heat That is if the distance between some general and the given radiator is less than or equal to than the general feels comfortable and warm Here distance is defined as Euclidean distance so the distance between points and is Each general who is located outside the radiators heating area can get sick Thus you should bring him a warm blanket Your task is to count the number of warm blankets you should bring to the Super Duper Secret Place The generals who are already comfortable do not need a blanket Also the generals never overheat ever if they are located in the heating area of several radiators The radiators can be located at any integer points on the plane even inside the rectangle under the table or on the perimeter directly under some general Even in this case their radius does not change ,implementation,math
Monocarp always starts his morning with a good ol sandwich Sandwiches Monocarp makes always consist of bread cheese and or ham A sandwich always follows the formula a piece of bread a slice of cheese or ham a piece of bread dots a slice of cheese or ham a piece of bread So it always has bread on top and at the bottom and it alternates between bread and filling where filling is a slice of either cheese or ham Each piece of bread and each slice of cheese or ham is called a layer Today Monocarp woke up and discovered that he has b pieces of bread c slices of cheese and h slices of ham What is the maximum number of layers his morning sandwich can have ,implementation,data structures
